"Date","Event","Type","Country ","Description"
"May-06","Agadez caravan culture recognized","Heritage","Niger","Agadez, the gateway to the Sahara in Niger, was inscribed as a UNESCO World Heritage Site in 2013. May 6 is Agadez Heritage Day, celebrating the ancient caravan city's Tuareg sultanate and earthen architecture."
"May-07","Dr. Hastings Kamuzu Banda","Figure","Malawi","Hastings Kamuzu Banda became Malawi's first prime minister after independence in 1964, having led the Nyasaland nationalist movement. May 7 is observed as Malawi Founders Day in tribute to independence leaders."
"May-08","Red Cross in Africa  North Africa campaigns","Commemoration","Pan Africa","The Red Cross and Red Crescent Movement has been active in Africa since World War I; May 8 (World Red Cross Day) celebrates decades of humanitarian service across the continent. The African continent hosts the largest ICRC operations in the world."
"May-09","Birth of Leopold II's Congo Free State (condemned)","Commemoration","DR Congo","The Congo Free State, created by King Leopold II of Belgium in 1885, was the site of one of history's worst colonial atrocities. May 9 is observed in DR Congo as a day of colonial memory and accountability."
"May-10","Nelson Mandela elected President","Figure","South Africa","On May 10, 1994, Nelson Mandela was inaugurated as South Africa's first Black president after the country's first fully democratic elections. His inauguration was attended by world leaders and broadcast globally."
"May-11","Cheikh Anta Diop born","Figure","Senegal","Cheikh Anta Diop, born December 29, 1923, was a Senegalese physicist and historian who argued that ancient Egypt was a Black African civilization. May 11 is observed as African Historiography Day in his memory."
"May-12","Ethiopian famine relief  international response (1984)","Commemoration","Ethiopia","The 1984 Ethiopian famine killed over a million people and sparked the global Live Aid concert in 1985. May 12 is observed as African Food Security Awareness Day."
"May-13","Malian gold  ancient economy day","Heritage","Mali","The Mali Empire, at its peak under Mansa Musa in the 14th century, controlled over half the world's gold supply. May 13 marks African Economic Heritage Day celebrating pre-colonial trade and prosperity."
"May-14","Mansa Musa's pilgrimage remembered","Figure","Mali","Mansa Musa of the Mali Empire departed on his famous pilgrimage to Mecca in 1324–1325, distributing so much gold in Egypt and Arabia that he crashed regional gold prices for a decade. His journey is one of history's greatest demonstrations of African wealth."
"May-15","Tuareg culture and Tamashek language day","Culture","West Africa","May 15 is Tuareg Heritage Day, celebrating the Tamashek language, Tifinagh script, and desert nomadic culture of the Tuareg people who span five Saharan nations. The Tifinagh script is one of the world's oldest alphabets."
"May-16","Madagascar's Famadihana  Turning of the Bones","Tradition","Madagascar","The Famadihana (turning of the bones) is a Malagasy ancestral ceremony where families exhume and rewrap the remains of their dead in fresh silk. Held in winter months (May–September), it is one of Africa's most unique funerary traditions."
"May-17","Cape Verde Independence Day","Independence","Cape Verde","Cape Verde gained independence from Portugal on July 5, 1975; May 17 is observed as Cape Verdean cultural heritage week opening day. The archipelago is home to Morna music, inscribed by UNESCO in 2019."
"May-18","Museum Africa opened  Johannesburg","Heritage","South Africa","MuseumAfrica in Johannesburg opened on May 18, 1994, housing artifacts from South Africa's rich cultural and natural history. It is one of the largest museums on the continent."
"May-19","Africa's traditional architecture recognized","Heritage","Pan Africa","May 19 is African Vernacular Architecture Day, honoring the extraordinary building traditions from the earthen mosques of West Africa to the beehive huts of Ndebele and the trulli-like structures of Ethiopia. These traditions preceded European contact by millennia."
"May-20","Cameroon National Day","Independence","Cameroon","Cameroon celebrates National Day on May 20, marking the 1972 referendum that created the United Republic of Cameroon. Often called 'Africa in miniature,' Cameroon hosts over 250 languages and eight distinct ecological zones."
"May-21","Afrobeats and Highlife music day","Culture","West africa","May 21 is African Music Heritage Day, honoring West African Highlife, Afrobeats, Afrojuju, and the global influence of African rhythms. Nigerian artists like Fela Kuti, Burna Boy, and Wizkid have made African music a global force."
"May-22","Biodiversity Day  Congo Basin rainforest","Science","DR Congo","May 22 is International Biodiversity Day; Africa's Congo Basin is home to gorillas, forest elephants, and over 10,000 plant species found nowhere else. It is the world's most biodiverse tropical forest after the Amazon."
"May-23","Organization of African Unity founded","Heritage","Pan Africa","The Organization of African Unity (OAU) was founded on May 25, 1963, in Addis Ababa, Ethiopia. The founding fathers of African independence, from Nkrumah to Nasser, gathered to declare a unified Africa."
"May-24","Eritrea Independence Day","Independence","Eritrea","On May 24, 1991, EPLF forces liberated Asmara and the independence was formalized following a 1993 referendum. Asmara, Eritrea's modernist Italian-era capital, was inscribed as a UNESCO World Heritage Site in 2017."
"May-25","Africa Day (African Liberation Day)","Heritage","Pan Africa","May 25 is Africa Day, commemorating the founding of the Organization of African Unity in 1963. It is a public holiday in many African countries and celebrated globally in the African diaspora."
"May-26","Burkina Faso  Thomas Sankara's development legacy","Figure","Burkina Faso","Under Thomas Sankara (1983–1987), Burkina Faso became self-sufficient in food, planted millions of trees, and provided universal vaccination. May 26 marks Burkinabè Development Heritage Day."
"May-27","Kenyan marathon legend  Kipchoge Keino","Sport","Kenya","Kipchoge Keino, born January 17, 1940, won gold at the 1968 Mexico City Olympics, launching East Africa's dominance in long-distance running. May 27 is East African Athletics Heritage Day."
"May-28","Republic of Ethiopia — Derg abolished","Heritage","Ethiopia","On May 28, 1991, the Derg military regime of Mengistu Haile Mariam fell, ending 17 years of authoritarian rule. The day is celebrated as Downfall of the Derg Day and a national holiday in Ethiopia."
"May-29","Cairo  founded by Fatimid Dynasty (969 CE)","Heritage","Egypt","Cairo was founded in 969 CE by the Fatimid Caliphate as Al-Qahira (The Victorious). May 29 is Cairo Foundation Day, celebrating the city that grew into Africa's largest metropolitan area."
"May-30","Biafra War begins (commemoration)","Commemoration","Nigeria","Biafra declared independence from Nigeria on May 30, 1967, triggering a civil war that killed over a million people, largely from famine. May 30 is Biafra Remembrance Day observed by Igbo communities worldwide."
"May-31","South Africa  Republic Day (1961)","Heritage","South Africa","apartheid government of H.F. Verwoerd. The date is historically significant as both a triumph for Afrikaner nationalists and a tragedy for Black South Africans."
"Jun-01","Madaraka Day  Kenya","Independence","kenya","June 1, 1963 marks the day Kenya achieved self-governance (Madaraka Day), one year before full independence. Madaraka Day remains a major public holiday celebrated with military parades and cultural events."
"Jun-02","Italy surrenders Libya (WWII)","Battle","Libya","Italy's colonial control of Libya, established in 1911, officially ended in World War II; June 2 marks Libya's colonial liberation awareness day. Libya suffered enormous population losses under Italian colonial rule, including the use of chemical weapons."
"Jun-03","King Mutesa of Buganda  anniversary","Figure","Uganda","King Mutesa I of Buganda (r. 1856–1884) was one of East Africa's most powerful monarchs who navigated Arab, British, and Egyptian imperial pressures. June 3 is Buganda Kingdom Heritage Day in Uganda."
"Jun-04","Eyadéma's coup  Togo (1967)","Revolution","Togo","On January 13, 1967, General Gnassingbé Eyadéma seized power in Togo in the first military coup following African independence; June 4 marks West African political awareness day. His family dynasty ruled Togo for over 50 years."
"Jun-05","Environment Day  Sahel regreening","Science","Pan Africa","June 5 is World Environment Day; Africa's Great Green Wall initiative aims to restore 100 million hectares of degraded land across the Sahel from Senegal to Djibouti. It is the world's largest ecological restoration project."
"Jun-06","Djenne-Djenno archaeological discovery","Archaelogy","Mali","Archaeological excavations at Djenné-Djenno in Mali confirmed a settlement dating back to 250 BCE, making it one of the oldest sub-Saharan African cities. June 6 marks the annual Djenné heritage awareness event."
"Jun-07","Fante asafo flags Ghanaian textile heritage","Tradition","Ghana","The Fante people of Ghana's coastal region are famous for their asafo company flags, hand-appliquéd ceremonial banners expressing community pride and military heritage. June 7 is Ghanaian Textile Heritage Day."
"Jun-08","World Oceans Day  East African coast","Science","East Africa","June 8 is World Oceans Day; the East African coast hosts coral reefs, dugongs, and whale sharks, making it one of the Indian Ocean's most biodiverse zones. Kenya's Watamu Marine National Park is a UNESCO Biosphere Reserve."
"Jun-09","Enkutatash (New Year) preparation","Festival","Ethiopia","Ethiopia's New Year (Enkutatash) falls in September, but June 9 marks the midpoint of the Ethiopian year with communal feasts and flower offerings. Children sing songs and give out bunches of yellow daisies (adey abeba)."
"Jun-10","Portuguese discovery of Cape Verde (1456 remembered)","Heritage","Cape Verde","Portuguese sailors reached the uninhabited Cape Verde archipelago in 1456, beginning a settlement that would become a crossroads of African, European, and Brazilian cultures. June 10 is Portugal's National Day, linked to Africa through centuries of colonial encounter."
"Jun-11","Mandela jailed  Rivonia Trial (1964)","Figure","South Africa","On June 11, 1964, Nelson Mandela and seven co-accused were sentenced to life imprisonment in the Rivonia Trial. Mandela's speech from the dock — 'I am prepared to die' — became one of the most quoted statements of the 20th century."
"Jun-12","Day of the African Child  origins (1976 Soweto)","Commemoration","South Africa","June 16, 1976 saw Soweto schoolchildren massacred by apartheid police for protesting Afrikaans-medium education; June 12 begins preparatory awareness events. The 1976 uprising fundamentally changed the anti-apartheid struggle."
"Jun-13","First Sub-Saharan African film festival  FESPACO","Culture","Burkina Faso","FESPACO, the Pan-African Film and Television Festival of Ouagadougou, was founded in 1969 and first held in Burkina Faso. June 13 marks African Cinema Heritage Day, honoring the continent's extraordinary film tradition."
"Jun-14","Asmara's modernist architecture recognized","UNESCO","Eritrea","Asmara, Eritrea, was inscribed as a UNESCO World Heritage Site in July 2017; June 14 is Asmara Heritage Day. The city contains one of the world's finest collections of 1930s Italian Futurist and Art Deco architecture."
"Jun-15","Liberia founded  West Africa","Heritage","Liberia","Liberia, founded on July 26, 1847, was Africa's first republic; June 15 marks Liberian Heritage Week opening events. Liberia was established by freed American slaves and has a unique Creole Americo-Liberian culture."
"Jun-16","Soweto Uprising  Youth Day","Commemoration","South Africa","On June 16, 1976, thousands of Soweto students marched to protest being forced to learn in Afrikaans; police opened fire, killing hundreds. June 16 is now Youth Day in South Africa and the Day of the African Child across the continent."
"Jun-17","Combat Desertification Day  Africa","Science","Pan Africa","June 17 is World Day to Combat Desertification; the Sahara Desert is expanding southward at about 48 km per year in some areas. Africa has over 2 billion hectares of degraded land — the world's greatest land restoration challenge."
"Jun-18","Seychelles Independence Day","Independence","Seychelles","The Seychelles gained independence from Britain on June 29, 1976; June 18 is National Day in the Seychelles celebrating constitutional change. The archipelago has one of Africa's highest GDP per capita."
"Jun-19","Juneteenth  connections to African diaspora","Heritage","West Africa","June 19 (Juneteenth) marks the emancipation of enslaved Americans in 1865, deeply connected to West African heritage. Millions of enslaved Africans from Senegambia, Benin, and Angola built the Americas, and Juneteenth is increasingly celebrated in Africa."
"Jun-20","World Refugee Day  Africa","Commemoration","Pan Africa","June 20 is World Refugee Day; Africa hosts over 26 million displaced people, the world's largest refugee population. Uganda is the world's third-largest refugee-hosting country, receiving millions from South Sudan and DR Congo."
"Jun-21","Winter Solstice  Southern African traditions","Tradition","South Africa","June 21 is the winter solstice in the Southern Hemisphere, marked by fire ceremonies among Zulu, Xhosa, and Sotho communities. The solstice is linked to ancestral ceremonies and the preparation for spring planting."
"Jun-22","Comoros Heritage Day","Heritage","Comore","The Comoros archipelago, lying between Madagascar and Mozambique, celebrates its unique blend of Swahili, Arab, and Malagasy cultures each June 22. The country has one of the world's most active volcanoes, Mount Karthala."
"Jun-23","African Union headquarters inaugurated (Addis)","Heritage","Pan Africa","The new African Union Commission headquarters in Addis Ababa was inaugurated in January 2012, built as a gift from China. June 23 marks African diplomatic heritage events at the AU."
"Jun-24","Djibouti Foundation Day","Heritage","Djibouti","Djibouti gained independence from France on June 27, 1977; June 24 begins cultural heritage week. Djibouti hosts one of the world's busiest shipping routes and is a strategic geopolitical gateway."
"Jun-25","Mozambique Independence Day","Independence","Mozambique","Mozambique gained independence from Portugal on June 25, 1975, under FRELIMO leader Samora Machel. After a devastating civil war (1977–1992), Mozambique has become one of Africa's fastest-developing economies."
"Jun-26","Madagascar Independence Day","Independence","Madagascar","Madagascar declared independence from France on June 26, 1960. The island continent is home to over 90% of its wildlife found nowhere else on Earth, including 110 species of lemurs."
"Jun-27","Djibouti Independence Day","Independence","Djibouti","Djibouti gained independence from France on June 27, 1977, under President Hassan Gouled Aptidon. The country's strategic location at the Bab-el-Mandeb strait makes it one of Africa's most geopolitically important nations"
"Jun-28","African Traditional Music Day","Culture","Pan Africa","June 28 is dedicated to celebrating Africa's extraordinary musical heritage: from Malian kora to South African mbaqanga, Nigerian juju to Congolese rumba. UNESCO inscribed Congolese rumba as an intangible cultural heritage in 2021."
"Jun-29","Seychelles Independence Day","Independence","Seychelles","The Republic of Seychelles gained full independence from Britain on June 29, 1976. As Africa's smallest nation by population, it punches far above its weight in conservation and marine protection."
"Jun-30","DR Congo Independence Day","Independence","DR Congo","The Democratic Republic of Congo gained independence from Belgium on June 30, 1960, with Patrice Lumumba as its first Prime Minister. Congo holds the world's largest tropical peat bog (discovered 2017), storing decades of carbon."
"Jul-01","Rwanda Independence Day","Independence","Rwanda","Rwanda became independent from Belgian trusteeship on July 1, 1962. After the 1994 genocide, Rwanda rebuilt itself into one of Africa's most efficient and technologically advanced nations under President Paul Kagame."
"Jul-02","Burundi Independence Day","Independence","Burundi","Burundi became independent from Belgian trusteeship on July 1, 1962; July 2 begins Independence Week celebrations. The country is home to Africa's oldest human remains site at Ishango."
"Jul-03","Comoros Independence Day","Independence","Comoros","The Comoros declared independence from France on July 6, 1975; July 3 marks solidarity events. The Comoros holds a world record for the most coups d'état per capita, with over 20 attempted since independence."
"Jul-04","ECOWAS founded  West African unity","Heritage","West Africa","The Economic Community of West African States (ECOWAS) was established on May 28, 1975; July 4 is observed as ECOWAS Day in some member states. It has grown to 15 member nations and administers a common travel zone."
"Jul-05","Cape Verde Independence Day","Independence","Cape Verde","Cape Verde gained independence from Portugal on July 5, 1975, along with other Portuguese African colonies. The islands are famous for their Morna music and the voice of Cesária Évora, the 'Barefoot Diva.'"
"Jul-06","Comoros Independence Day","Independence","Comoros","On July 6, 1975, the Comoros unilaterally declared independence from France while Mayotte voted to remain French. The dispute over Mayotte remains unresolved and a source of tension."
"Jul-07","Saba Saba Tanzanian founding of TANU (1954)","Heritage","Tanzania","On July 7, 1954 (Saba Saba means 'Seven Seven' in Swahili), Julius Nyerere founded TANU, the political movement that led Tanzania to independence. July 7 is Saba Saba Day in Tanzania."
"Jul-08","Julius Nyerere's Ujamaa philosophy published","Figure","Tanzania","Julius Nyerere's Ujamaa (African Socialism) model, published in 1967, was one of Africa's most ambitious social experiments, collectivizing agriculture in Tanzania. July 8 is observed as African Political Thought Heritage Day."
"Jul-09","South Sudan Independence Day","Independence","South Sudan","South Sudan became the world's newest nation on July 9, 2011, following a 2010 referendum in which 99% voted for independence from Sudan. The country immediately plunged into civil war, creating one of Africa's worst humanitarian crises."
"Jul-10","Jawara ousted (1994)","Revolution","Gambia","On July 22, 1994, a military coup led by Yahya Jammeh overthrew Gambia's first president Dawda Jawara; July 10 begins political history awareness events. Jammeh ruled for 22 years before being removed by election in 2016."
"Jul-11","World Population Day  Nigeria's demographic power","Science","Nigeria","July 11 is World Population Day; Nigeria's 220+ million people make it Africa's most populous nation, projected to be the world's third-largest country by 2100. Nigeria's youth bulge will shape global demographics this century."
"Jul-12","São Tomé and Príncipe Independence Day","Independence"," São Tomé and Príncipe","São Tomé and Príncipe gained independence from Portugal on July 12, 1975. The twin-island nation in the Gulf of Guinea near the equator is Africa's second-smallest country and a democracy since 1990."
"Jul-13","Africa's ancient astronomy  Egyptian Sirius calendrical","Science","Egypt","Ancient Egyptians used the heliacal rising of Sirius (around July 19) to predict the Nile flood and begin their New Year. July 13 begins the Sothic cycle awareness period commemorated at Karnak and Luxor temples."
"Jul-14","Bastille Day  Francophone Africa solidarity","Culture","Francophone Africa","July 14, Bastille Day, is celebrated in many Francophone African capitals as a reminder of complex colonial entanglements. Major parades and cultural events are held in Dakar, Abidjan, and Bamako."
"Jul-15","Livingstone arrives at Victoria Falls (1855)","Heritage","Zambia and Zimbabwe ","David Livingstone became the first European to see Victoria Falls on November 17, 1855; July 15 marks Livingstone Heritage in Zambia and Zimbabwe. The falls, known locally as Mosi-oa-Tunya ('The Smoke That Thunders'), are one of the world's greatest natural wonders."
"Jul-16","African batik and wax print tradition","Tradition","West Africa","July 16 is African Textile Heritage Day, honoring the vibrant wax-print fabrics that have become symbols of African identity. Originally Indonesian, Dutch-wax fabrics were adopted across West Africa and are now inseparable from Pan-African fashion."
"Jul-17"," Nelson Mandela International Day","Figure","South Africa","July 18 is Nelson Mandela International Day, but July 17 launches 67 Minutes of Service (one minute per year of Mandela's service). The UN declared July 18 Mandela Day in 2009."
"Jul-18","Nelson Mandela International Day","Figure","South Africa","July 18 is Mandela's birthday and the UN-declared Nelson Mandela International Day, encouraging 67 minutes of community service. Mandela spent 67 years in public service to humanity."
"Jul-19","Egyptian New Year  ancient Sothic cycle","Heritage","Egypt","The ancient Egyptian civil New Year was tied to the heliacal rising of Sirius (Sopdet), marking the beginning of the Nile flood around July 19. This astronomical event governed agriculture and religion for thousands of years."
"Jul-20","First Moon landing  lunar heritage link","Science","South Africa","On July 20, 1969, Apollo 11 landed on the moon; African nations contributed meteorological and tracking data via stations in East Africa. South Africa's Hartebeesthoek station tracked the mission."
"Jul-21","Belgian independence  Congo connection","Heritage","DR Congo","July 21 is Belgian National Day; in DR Congo, this date prompts reflection on the colonial legacy and the responsibility of former colonizers. Belgian colonialism under Leopold II and afterward caused millions of Congolese deaths."
"Jul-22","Tchad (Chad) historical founding","Heritage","Chad","Lake Chad, which gave Chad its name, was once four times its current size and supported one of Africa's earliest civilizations, the Sao people. July 22 is Lake Chad Heritage Day."
"Jul-23","Haile Selassie born","Figure","Ethiopia","Ras Tafari Makonnen, later Emperor Haile Selassie I, was born on July 23, 1892 in Ejersa Goro, Ethiopia. He ruled Ethiopia from 1930 to 1974 and is revered as a divine figure by the Rastafari movement."
"Jul-24","Kenyan Mau Mau uprising","Battle","Kenya","The Mau Mau uprising against British rule in Kenya (1952–1960) began with secret Kikuyu oaths; July 24 is observed as Kenya Liberation Roots Day. The British response involved detention camps, torture, and mass executions."
"Jul-25","Moremi Ajasoro Yoruba queen heroine","Figure","Nigeria","Moremi Ajasoro is a legendary Yoruba queen of ancient Ife who sacrificed her son to save her people from Igbo raiders, circa 12th century. July 25 is the annual Moremi Festival in Ile-Ife, Nigeria."
"Jul-26","Liberia Independence Day","Independence","Liberia","Liberia declared independence on July 26, 1847, becoming the first African republic. Founded by freed American slaves, Liberia's complex identity sits at the intersection of African and African-American history."
"Jul-27","SADC founded ","Heritage","Southern Africa","The Southern African Development Community (SADC) was established on August 17, 1992; July 27 is observed as Southern African Integration Day. SADC coordinates economic, social, and political development across 16 countries."
"Jul-28","Ogaden War begins (1977)","Battle","Ethiopia and Somalia","On July 13, 1977, Somalia invaded Ethiopia's Ogaden region, starting a devastating war that drew in Cuban troops and Soviet military support for Ethiopia. July 28 marks Horn of Africa Peace Awareness Day."
"Jul-29","African mathematical heritage  Ishango bone","Science","DR Congo","The Ishango bone from DR Congo, dated to 20,000 BCE, is the world's oldest mathematical artifact, suggesting early humans in Africa were performing complex arithmetic. July 29 is African Science Heritage Day."
"Jul-30","Trafficking awareness  Transatlantic slave trade","Commemoration","Pan Africa","July 30 is World Day against Trafficking in Persons; Africa lost an estimated 12–15 million people to the Transatlantic Slave Trade between the 15th and 19th centuries. West and Central Africa bore the heaviest human cost."
"Jul-31","Rwandan Paul Kagame's economic miracle","Figure","Rwanda","Rwanda has achieved extraordinary economic growth since 1994 under Paul Kagame, reducing poverty from 60% to 38% in 20 years. July 31 marks Rwanda Economic Heritage Day."
"Aug-01","Emancipation Day Caribbean-Africa link","Heritage","Pan Africa","August 1, 1834 marked the abolition of slavery in the British Caribbean; August 1 is African Diaspora Emancipation Heritage Day. The Caribbean's cultural heart remains deeply African, from drumming traditions to religious practices."
"Aug-02","Muammar Gaddafi's coup (1969)","Revolution","Libya","Muammar Gaddafi seized power in Libya on September 1, 1969; August 2 marks the launch of his 'Green Revolution' policies. Gaddafi was both a Pan-African sponsor and an authoritarian leader who funded liberation movements across Africa."
"Aug-03","Niger Independence Day","Independence","Niger","Niger gained independence from France on August 3, 1960. One of the world's poorest countries, Niger sits atop the world's largest uranium reserves and has significant oil deposits."
"Aug-04","Burkina Faso Revolution Day","Revolution","Burkina Faso","On August 4, 1983, Thomas Sankara led a revolution in Burkina Faso (then Upper Volta), renaming the country and launching radical social and economic reforms. Sankara's revolution is Africa's most celebrated."
"Aug-05","Burkina Faso Independence Day","Independence","Burkina Faso","Burkina Faso (then Upper Volta) gained independence from France on August 5, 1960. The country's name, meaning 'Land of Honest Men' in Mooré and Dioula, was given by Thomas Sankara in 1984."
"Aug-06","Rwanda genocide tribunal landmark verdict","Commemoration","Rwanda","The International Criminal Tribunal for Rwanda issued landmark genocide convictions in the early 2000s; August 6 is observed as African Transitional Justice Day. The ICTR was the first international court to define rape as genocide."
"Aug-07","Côte d'Ivoire Independence Day","Independence","Côte d'Ivoire","Côte d'Ivoire gained independence from France on August 7, 1960, under Félix Houphouët-Boigny. For decades it was West Africa's economic powerhouse, with Abidjan serving as the continent's most cosmopolitan city."
"Aug-08","African proverbs and wisdom — International Day","Tradition","Pan Africa","August 8 is African Oral Wisdom Day, celebrating the profound proverbial tradition: 'Ubuntu' (I am because we are), 'It takes a village to raise a child,' and thousands more. African proverbs encode millennia of collective wisdom."
"Aug-09","National Women's Day — South Africa","Commemoration","South Africa","On August 9, 1956, 20,000 South African women marched on the Union Buildings in Pretoria to protest the apartheid pass laws. The date is a public holiday in South Africa: National Women's Day."
"Aug-10","Ecuador abolishes slavery  African Ecuadorians","Heritage","West Africa","Significant African diaspora communities in Ecuador trace their roots to West Africa; August 10 is Afro-Ecuadorian Heritage Day. The Esmeraldas region in Ecuador is a living African cultural preserve in the Americas."
"Aug-11","Chad Independence Day","Independence","Chad","Chad gained independence from France on August 11, 1960. Sitting at the crossroads of North and sub-Saharan Africa, Chad hosts an extraordinary diversity of peoples, languages, and ecosystems."
"Aug-12","Nollywood Africa's film industry","Culture","Nigeria","August 12 is African Cinema Day, celebrating Nigeria's Nollywood, the world's second-largest film industry by volume, producing over 2,500 films annually. Nollywood is watched from Lagos to Lagos (Lagos, Portugal)."
"Aug-13","Central African Republic Independence Day","Independence","Central African Republic","The Central African Republic gained independence from France on August 13, 1960. The CAR contains extraordinary biodiversity, including gorillas, forest elephants, and some of Africa's last intact tropical forests."
"Aug-14","Congo Republic Independence Day","Independence","Republic of Congo","The Republic of the Congo gained independence from France on August 15, 1960. Brazzaville, the capital, sits across the Congo River from Kinshasa — the world's only pair of national capitals visible to each other."
"Aug-15","Republic of Congo Independence Day","Independence","Republic of Congo","August 15, 1960 marks the independence of the Republic of Congo (Congo-Brazzaville) from France. Congolese Rumba music, born here and in Kinshasa, is now a UNESCO Intangible Cultural Heritage"
"Aug-16","Joseph Ki-Zerbo born","Figure","Burkina Faso","Joseph Ki-Zerbo, born June 21, 1922, was Burkina Faso's greatest historian and the author of 'Histoire de l'Afrique noire,' the first comprehensive history of Africa by an African author. August 16 marks African Historiography Day."
"Aug-17","Gabon Independence Day","Independence","Gabon","Gabon gained independence from France on August 17, 1960, under Léon M'ba. The country is one of Africa's most forested, with 85% of its territory covered by rainforest."
"Aug-18","Benin Kingdom artistic heritage","Heritage","Nigeria","The ancient Benin Kingdom of present-day Nigeria, at its peak between the 13th and 17th centuries, produced some of the world's finest bronze artworks. August 18 is Benin Kingdom Arts Heritage Day."
"Aug-19","Birth of first Sub-Saharan African Nobel laureate — Wole Soyinka","Figure","Nigeria","Wole Soyinka, born July 13, 1934, was awarded the Nobel Prize in Literature in 1986, the first Black African to receive the honor. August 19 is African Literary Heritage Day honoring his legacy."
"Aug-20"," Gorée Island memorial day","Commemoration","Senegal","Gorée Island off Dakar, Senegal, was the largest slave-trading post on the African coast, holding enslaved people before their crossing to the Americas. August 20 is Gorée Memorial Day."
"Aug-21","Libya independence  King Idris remembered","Heritage","Libya","Libya became independent from British and French administration on December 24, 1951, under King Idris; August 21 marks political history awareness events. Libya was the first African country to achieve independence through a UN resolution."
"Aug-22","Nairobi National Park  first African urban park","Science","Kenya","Nairobi National Park, established in 1946, is the world's only national park within a capital city, home to lions, rhinos, and over 400 bird species. August 22 is Kenya Wildlife Heritage Day."
"Aug-23","Slave Trade Remembrance Day","Commemoration","Pan Africa","August 23 is the International Day for the Remembrance of the Slave Trade and its Abolition, chosen to mark the 1791 Saint-Domingue uprising. West and Central Africa lost an estimated 12 million people to the transatlantic trade."
"Aug-24","Dogon people  astronomy heritage","Tradition","Mali","The Dogon people of Mali are renowned for their astronomical knowledge, including awareness of the Sirius star system centuries before Western telescopes confirmed it. August 24 is Dogon Astronomy Heritage Day."
"Aug-25","Vodun tradition recognized ","Tradition","Benin","Vodun (Voodoo), the traditional religion of the Fon and Ewe peoples, is the official state religion of Benin and observed by millions across West Africa. August 25 marks Vodun Cultural Week."
"Aug-26","SWAPO launches armed struggle","Battle","Namibia","On August 26, 1966, SWAPO (South West Africa People's Organization) fired the first shots of Namibia's war of liberation against South African occupation at the Battle of Omugulugwombashe. August 26 is Heroes' Day in Namibia."
"Aug-27","African astronomers Lalibela churches alignment","Science","Ethiopia","The rock-hewn churches of Lalibela, Ethiopia, built in the 12th century, are precisely aligned with astronomical events including solstices. August 27 marks Ethiopian Architectural Heritage Day."
"Aug-28","March on Washington  Africa connection","Heritage","Pan Africa","The 1963 March on Washington drew heavily on African-American connections to African liberation struggles; August 28 is observed as Pan-African Solidarity Day. Malcolm X and Paul Robeson directly linked American civil rights to African decolonization."
"Aug-29","African literature week  Ngũgĩ wa Thiong'o","Figure","Kenya","Ngũgĩ wa Thiong'o, born January 5, 1938, is Kenya's greatest novelist and a perennial Nobel Prize candidate known for writing in Gikuyu to decolonize African literature. August 29 is African Literature Week launch."
"Aug-30","Somalia's colonial borders legacy","Commemoration","Somalia","Somalia's colonial borders, drawn by Britain, Italy, and France, divided the Somali people into five territories — Somalia, Djibouti, Kenya, Ethiopia, and Eritrea. August 30 is African Borders Awareness Day."
"Aug-31","Trinidad Carnival  African cultural roots","Culture","West Africa","Trinidad Carnival, culminating in August in some years, traces its roots to African Canboulay celebrations of enslaved people. August 31 celebrates African diasporic carnival culture across the Caribbean."
"Sep-01","Libyan Revolution Day (1969)","Revolution","Libya","On September 1, 1969, Muammar Gaddafi led a bloodless coup against King Idris I, establishing the Libyan Arab Republic. September 1 was Libya's Revolution Day until Gaddafi's overthrow in 2011."
"Sep-02","Ethiopia celebrates Enkutatash (New Year)","Festival","Ethiopia","Enkutatash, the Ethiopian New Year, falls on September 11 (or 12 in leap years) in the Gregorian calendar but celebrations begin on September 2. The Ethiopian calendar is approximately 7 years behind the Gregorian calendar."
"Sep-03","San people rock art oldest African art","Archaelogy","Botswana Namibia and South Africa","The San (Bushmen) people of Southern Africa created some of the world's oldest rock art, dating back 75,000 years. September 3 is Southern African Rock Art Heritage Day honoring this extraordinary tradition."
"Sep-04","First All-African People's Conference (1958 — Accra)","Heritage","Pan Africa","The First All-African People's Conference was held in Accra, Ghana, in December 1958 under Kwame Nkrumah; September 4 marks Pan-African preparatory events. Over 300 delegates from 28 African territories gathered to plan independence."
"Sep-05","Abebe Bikila wins Olympic marathon barefoot (1960)","Sport","Ethiopia","On September 10, 1960, Ethiopian Abebe Bikila won the Rome Olympic marathon barefoot, becoming the first Black African Olympic gold medalist. September 5 is Ethiopian Athletics Heritage Day."
"Sep-06","Swaziland (Eswatini) Independence Day","Independence","Eswatini","Swaziland (now Eswatini) gained independence from Britain on September 6, 1968. King Mswati III renamed the country Eswatini ('Land of the Swazis') in 2018, making it Africa's only absolute monarchy."
"Sep-07","Mozambique's Eduardo Mondlane born","Figure","Mozambique","Eduardo Mondlane, born June 20, 1920, founded FRELIMO and led Mozambique's independence movement before being assassinated in 1969. September 7 honors his legacy as Mozambican Founders' Heritage Day."
"Sep-08","International Literacy Day  African literacy","Science","Pan Africa","September 8 is International Literacy Day; sub-Saharan Africa has made dramatic literacy gains, from 27% in 1970 to 65% today. Ethiopia alone has the continent's highest number of UNESCO-recognized intangible heritages."
